rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date
175,spotify:track:53tv6ZbyeAwfAUwFaxYbfO,"Only The Family, Lil Durk",Hellcats & Trackhawks,Only The Family / EMPIRE,175,-1,1,1463144,2021-04-29
176,spotify:track:2CdTLdDjwZdVcm0bresVWx,"J Balvin, Khalid",Otra Noche Sin Ti,"Sueños Globales, LLC",67,148,3,1462571,2021-04-29
177,spotify:track:5IUtvfNvOyVYZUa6AJFrnP,"Ty Dolla $ign, Post Malone",Spicy (feat. Post Malone),Atlantic Records,14,176,21,1461330,2021-04-29
178,spotify:track:3dYD57lRAUcMHufyqn9GcI,Hozier,Take Me To Church,Universal-Island Records Ltd.,141,178,15,1458580,2021-04-29
179,spotify:track:0zLCBJZSiELJf02ucPP9wb,"SAINt JHN, Imanbek",Roses - Imanbek Remix,Columbia/B1 Recordings,5,186,61,1458057,2021-04-29
180,spotify:track:75ZvA4QfFiZvzhj2xkaWAh,Post Malone,I Fall Apart,Universal Records,2,184,181,1454640,2021-04-29
181,spotify:track:5uCax9HTNlzGybIStD3vDh,James Arthur,Say You Won't Let Go,Columbia,15,188,145,1446114,2021-04-29
182,spotify:track:1ZMiCix7XSAbfAJlEZWMCp,Harry Styles,Falling,Columbia,11,183,68,1445874,2021-04-29
183,spotify:track:0wXuerDYiBnERgIpbb3JBR,Childish Gambino,Redbone,Glassnote - VMG,9,191,96,1443602,2021-04-29
184,spotify:track:2gam98EZKrF9XuOkU13ApN,"Nelly Furtado, Timbaland",Promiscuous,Mosley / Geffen,142,-1,4,1440792,2021-04-29
185,spotify:track:2HbKqm4o0w5wEeEFXm2sD4,"Kendrick Lamar, Jay Rock",Money Trees,Aftermath,88,192,29,1437584,2021-04-29
186,spotify:track:2kJwzbxV2ppxnQoYw4GLBZ,"JP Saxe, Julia Michaels",If the World Was Ending (feat. Julia Michaels),Arista Records,47,189,75,1435483,2021-04-29
187,spotify:track:2FSGUA0gFgGeQdprjtGM2M,"KAROL G, Mariah Angeliq",EL MAKINON,UMLE - Latino,180,180,2,1434975,2021-04-29
188,spotify:track:2rPHUAeUPbNgTmK18FPTiZ,"The Kid LAROI, Juice WRLD",GO (feat. Juice WRLD),Columbia,15,194,45,1428497,2021-04-29
189,spotify:track:3S8jK1mGzQi24ilFb45DAZ,"Justin Bieber, benny blanco",Lonely (with benny blanco),RBMG/Def Jam,8,154,26,1427404,2021-04-29
190,spotify:track:0e7ipj03S05BNilyu5bRzt,"Post Malone, 21 Savage",rockstar (feat. 21 Savage),Republic Records,1,-1,172,1419971,2021-04-29
191,spotify:track:0fea68AdmYNygeTGI4RC18,"J Balvin, Bad Bunny",LA CANCIÓN,Universal Music Latino / Rimas,43,135,34,1411948,2021-04-29
192,spotify:track:1Cv1YLb4q0RzL6pybtaMLo,Surfaces,Sunday Best,"Surfaces Music / TenThousand Projects, LLC",14,199,62,1410951,2021-04-29
193,spotify:track:2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,bad guy,Darkroom/Interscope Records,1,-1,92,1407922,2021-04-29
194,spotify:track:7B3z0ySL9Rr0XvZEAjWZzM,Clairo,Sofia,FADER Label,27,190,31,1406554,2021-04-29
195,spotify:track:5SWnsxjhdcEDc7LJjq9UHk,"21 Savage, Metro Boomin",Runnin,"Slaughter Gang, LLC/Epic/Boominati Worldwide/Republic",3,195,29,1405456,2021-04-29
196,spotify:track:3hRV0jL3vUpRrcy398teAU,Lord Huron,The Night We Met,Play It Again Sam,48,-1,29,1404926,2021-04-29
197,spotify:track:696DnlkuDOXcMAnKlTgXXK,Arizona Zervas,ROXANNE,Arizona Zervas,1,200,77,1402023,2021-04-29
198,spotify:track:2Zza7LeJBNz3R2xprlfrFS,"Young Stoner Life, Young Thug, DaBaby",Litty (feat. DaBaby),300 Entertainment,198,-1,1,1398094,2021-04-29
199,spotify:track:3Uo7WG0vmLQ07WB4BDwy7D,Taylor Swift,willow,Taylor Swift,1,181,20,1397762,2021-04-29
200,spotify:track:472vIK1ldetTxRxG3ovaiY,Dan + Shay,Glad You Exist,Warner Music Nashville,64,173,8,1393167,2021-04-29
