rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date
179,spotify:track:2gam98EZKrF9XuOkU13ApN,"Nelly Furtado, Timbaland",Promiscuous,Mosley / Geffen,142,162,22,2121021,2025-08-28
180,spotify:track:1G391cbiT3v3Cywg8T7DM1,Red Hot Chili Peppers,Scar Tissue,Warner Records,116,164,22,2118162,2025-08-28
181,spotify:track:4Sb8neYCkT7lyMIo2kOOEC,Morgan Wallen,Thinkin’ Bout Me,Morgan Wallen,9,174,112,2115902,2025-08-28
182,spotify:track:0gEyKnHvgkrkBM6fbeHdwK,The Cranberries,Linger,Island Records,81,189,30,2109528,2025-08-28
183,spotify:track:4cZnOey9w6yxegFIzE982M,Laufey,Mr. Eclectic,Vingolf Recordings,183,-1,1,2109087,2025-08-28
184,spotify:track:68Dni7IE4VyPkTOH9mRWHr,J. Cole,No Role Modelz,Roc Nation Records LLC,10,176,384,2096708,2025-08-28
185,spotify:track:2FAZskT9yRjp2Oow9szJD8,"Chrystal, NOTION",The Days - NOTION Remix,Polydor Records,64,183,34,2095955,2025-08-28
186,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,-1,79,2085249,2025-08-28
187,spotify:track:4eLDmhsJW3JoZTXCAozHor,Neton Vega,Loco,Josa Records,21,200,31,2081961,2025-08-28
188,spotify:track:7J1uxwnxfQLu4APicE5Rnj,Michael Jackson,Billie Jean,Epic,141,169,5,2080578,2025-08-28
189,spotify:track:1xK59OXxi2TAAAbmZK0kBL,d4vd,Romantic Homicide,Darkroom/Interscope Records,3,152,143,2072846,2025-08-28
190,spotify:track:3U5JVgI2x4rDyHGObzJfNf,Natasha Bedingfield,Unwritten,Sony Music CG,85,185,54,2070084,2025-08-28
191,spotify:track:5TgEJ62DOzBpGxZ7WRsrqb,Hozier,Work Song,Universal-Island Records Ltd.,103,195,41,2068353,2025-08-28
192,spotify:track:4l0RmWt52FxpVxMNni6i63,Tate McRae,you broke me first,RCA Records Label,16,-1,75,2068027,2025-08-28
193,spotify:track:4RvWPyQ5RL0ao9LPZeSouE,Tears For Fears,Everybody Wants To Rule The World,UMC (Universal Music Catalogue),49,158,124,2067023,2025-08-28
194,spotify:track:51rfRCiUSvxXlCSCfIztBy,Gracie Abrams,"I Love You, I'm Sorry","Gracie Abrams, under exclusive license to Interscope Records",11,175,48,2066039,2025-08-28
195,spotify:track:58FbmtiyAlFBqFr8EorsSr,Morgan Wallen,7 Summers,Morgan Wallen,3,173,101,2065425,2025-08-28
196,spotify:track:2M38X60UJnupGPbFTkVPNQ,Brooks & Dunn,Neon Moon,Arista Nashville,118,154,14,2060602,2025-08-28
197,spotify:track:15zJeVUmKFnbrxm9dxcxYD,Benson Boone,Sorry I'm Here For Someone Else,"Night Street Records, Inc./Warner Records Inc.",62,192,20,2059297,2025-08-28
198,spotify:track:6lbhWl34Il0WXm5pX1fM9E,"T-Pain, B.o.B",Up Down (Do This All Day) (feat. B.o.B),Nappy Boy/Konvict Muzik/RCA Records,198,-1,1,2052658,2025-08-28
199,spotify:track:0j3mqDTK4Z6lvrLzFCUUz6,Suki Waterhouse,Good Looking,Sub Pop Records,95,-1,4,2049576,2025-08-28
200,spotify:track:5AEOqLsRJFAoSS4ay4Jzao,Nirvana,Come As You Are,Geffen,157,157,16,2047541,2025-08-28
